Date,Cases
2023-03-10,44696957.27081585
2023-03-11,44705802.225768656
2023-03-12,44718115.41387385
2023-03-13,44734953.70667246
2023-03-14,44757625.5124252
2023-03-15,44787765.99894816
2023-03-16,44827403.83315031
2023-03-17,44877645.30214864
2023-03-18,44940765.92610514
2023-03-19,45019443.166149214
2023-03-20,45116818.536007285
2023-03-21,45236570.63427444
2023-03-22,45382994.289609
2023-03-23,45561094.98856203
2023-03-24,45777042.4799145
2023-03-25,46038082.49443662
2023-03-26,46352805.782700285
2023-03-27,46731408.27566491
2023-03-28,47186003.62966065
2023-03-29,47730999.94338709
2023-03-30,48383552.10897645
2023-03-31,49164019.86197832
2023-04-01,50096603.536036015
2023-04-02,51210072.43120748
2023-04-03,52538629.592815325
2023-04-04,54122938.04910053
2023-04-05,56011337.843093395
2023-04-06,58261289.05049899
2023-04-07,60941103.38111211
2023-04-08,64131992.69368796
